entry,hostname,delta,error,lastcall
2,xen-vm2,0.040019379,0.000019379,8.603868890
1,xen-vm1,0.040017583,0.000017583,8.623867476
2,xen-vm2,0.040020347,0.000020347,8.643889237
1,xen-vm1,0.040026218,0.000026218,8.663893694
2,xen-vm2,0.040022489,0.000022489,8.683911726
1,xen-vm1,0.040029966,0.000029966,8.703923660
2,xen-vm2,0.040017754,0.000017754,8.723929480
1,xen-vm1,0.040011266,0.000011266,8.743934926
2,xen-vm2,0.040025446,0.000025446,8.763954926
1,xen-vm1,0.040022487,0.000022487,8.783957413
2,xen-vm2,0.040022422,0.000022422,8.803977348
1,xen-vm1,0.040017388,0.000017388,8.823974801
2,xen-vm2,0.040024497,0.000024497,8.844001845
1,xen-vm1,0.040024672,0.000024672,8.863999473
2,xen-vm2,0.040015850,0.000015850,8.884017695
1,xen-vm1,0.040021344,0.000021344,8.904020817
2,xen-vm2,0.040021202,0.000021202,8.924038897
1,xen-vm1,0.040023771,0.000023771,8.944044588
2,xen-vm2,0.040022918,0.000022918,8.964061815
1,xen-vm1,0.040017270,0.000017270,8.984061858
2,xen-vm2,0.040018399,0.000018399,9.004080214
1,xen-vm1,0.040014908,0.000014908,9.024076766
2,xen-vm2,0.040018912,0.000018912,9.044099126
1,xen-vm1,0.040023176,0.000023176,9.064099942
2,xen-vm2,0.040024706,0.000024706,9.084123832
1,xen-vm1,0.040020301,0.000020301,9.104120243
2,xen-vm2,0.040008094,0.000008094,9.124131926
1,xen-vm1,0.040023060,0.000023060,9.144143303
2,xen-vm2,0.040033514,0.000033514,9.164165440
1,xen-vm1,0.040023260,0.000023260,9.184166563
2,xen-vm2,0.040021257,0.000021257,9.204186697
1,xen-vm1,0.040017539,0.000017539,9.224184102
2,xen-vm2,0.040016940,0.000016940,9.244203637
1,xen-vm1,0.040024518,0.000024518,9.264208620
2,xen-vm2,0.040025883,0.000025883,9.284229520
1,xen-vm1,0.040021083,0.000021083,9.304229703
2,xen-vm2,0.040016367,0.000016367,9.324245887
1,xen-vm1,0.040017005,0.000017005,9.344246708
2,xen-vm2,0.040024403,0.000024403,9.364270290
1,xen-vm1,0.040026541,0.000026541,9.384273249
2,xen-vm2,0.040021303,0.000021303,9.404291593
1,xen-vm1,0.040017302,0.000017302,9.424290551
2,xen-vm2,0.040020770,0.000020770,9.444312363
1,xen-vm1,0.040024270,0.000024270,9.464314821
2,xen-vm2,0.040020651,0.000020651,9.484333014
1,xen-vm1,0.040020436,0.000020436,9.504335257
2,xen-vm2,0.040018180,0.000018180,9.524351194
1,xen-vm1,0.040019077,0.000019077,9.544354334
2,xen-vm2,0.040023940,0.000023940,9.564375134
1,xen-vm1,0.040021688,0.000021688,9.584376022
2,xen-vm2,0.040020788,0.000020788,9.604395922
1,xen-vm1,0.040017377,0.000017377,9.624393399
2,xen-vm2,0.040015897,0.000015897,9.644411819
1,xen-vm1,0.040025340,0.000025340,9.664418739
2,xen-vm2,0.040026871,0.000026871,9.684438690
1,xen-vm1,0.040020682,0.000020682,9.704439421
2,xen-vm2,0.040015411,0.000015411,9.724454101
1,xen-vm1,0.040018148,0.000018148,9.744457569
2,xen-vm2,0.040025000,0.000025000,9.764479101
1,xen-vm1,0.040024774,0.000024774,9.784482343
2,xen-vm2,0.040023429,0.000023429,9.804502530
1,xen-vm1,0.040016396,0.000016396,9.824498739
2,xen-vm2,0.040020722,0.000020722,9.844523252
1,xen-vm1,0.040026208,0.000026208,9.864524947
2,xen-vm2,0.040020608,0.000020608,9.884543860
1,xen-vm1,0.040020928,0.000020928,9.904545875
2,xen-vm2,0.040017197,0.000017197,9.924561057
1,xen-vm1,0.040019317,0.000019317,9.944565192
2,xen-vm2,0.040026255,0.000026255,9.964587312
1,xen-vm1,0.040022570,0.000022570,9.984587762
2,xen-vm2,0.040018265,0.000018265,10.004605577
1,xen-vm1,0.040017575,0.000017575,10.024605337
2,xen-vm2,0.040020479,0.000020479,10.044626056
1,xen-vm1,0.040024575,0.000024575,10.064629912
2,xen-vm2,0.040040443,0.000040443,10.084666499
1,xen-vm1,0.040027744,0.000027744,10.104657656
2,xen-vm2,0.040007328,0.000007328,10.124673827
1,xen-vm1,0.040011878,0.000011878,10.144669534
2,xen-vm2,0.040017494,0.000017494,10.164691321
1,xen-vm1,0.040022634,0.000022634,10.184692168
2,xen-vm2,0.040020513,0.000020513,10.204711834
1,xen-vm1,0.040013598,0.000013598,10.224705766
2,xen-vm2,0.040018146,0.000018146,10.244729980
1,xen-vm1,0.040024781,0.000024781,10.264730547
2,xen-vm2,0.040020933,0.000020933,10.284750913
1,xen-vm1,0.040020742,0.000020742,10.304751289
